Info for plot,,,,CHANGE YELLOW HIGHLIGHT,,,,,,,,,SankeyTitle,node_label,x_posi,y_posi,node_color,node_color_rgba,node_hover,source,target,value,link_hover,link_colorrr,,index,,Hybridoma ID,Clone A or B or Poly?,,,,,Notes
Fused b-cells: ,Lymphocytes,,,,,,,,,,,,,3-D11,0.45,0.625,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  717841<br>2*Screen RLU:  260434<br>3*Screen RLU:  223561<br>Scaleup RLU:  437035.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  3<br>Isotype: mIGG2B mKAPPA<br>EC50 (nM):  2.7<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,2-O1,1,RLU: 527914,"rgba(255,215,0,0.4)",,10,,3-D11,A,,,,,
Immunization method: ,HT-Hock,,,,,,,,,,,,,3-O21,0.45,0.65,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  715840<br>2*Screen RLU:  517541<br>3*Screen RLU:  549197<br>Scaleup RLU:  374000.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  1<br>Isotype: mIGG2B mKAPPA<br>EC50 (nM):  2.4<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,3-D11,1,RLU: 223561,"rgba(255,215,0,0.4)",,11,,3-O21,A,,,,,
Immunogen: ,aaa,,,,,,,,,,,,,4-A16,0.45,0.675,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  776156<br>2*Screen RLU:  329872<br>3*Screen RLU:  259956<br>Scaleup RLU:  796688<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  1<br>Isotype: mIGG2B mKAPPA<br>EC50 (nM):  1.3<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,3-O21,1,RLU: 549197,"rgba(255,215,0,0.4)",,12,,4-A16,A,,,,,
Final boost: ,aaa,,,,,,,,,,,,,4-N1,0.45,0.7,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  770354<br>2*Screen RLU:  177531<br>3*Screen RLU:  193156<br>Scaleup RLU:  136818<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  3<br>Isotype: mIGG1 mKAPPA<br>EC50 (nM):  1.5<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,4-A16,1,RLU: 259956,"rgba(255,215,0,0.4)",,13,,4-N1,A,,,,,
,,,,,,,,,,,,,,5-I19,0.45,0.725,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  841335<br>2*Screen RLU:  388916<br>3*Screen RLU:  381599<br>Scaleup RLU:  518082.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  4<br>Isotype: mIGG2B mKAPPA<br>EC50 (nM):  2.4<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,4-N1,1,RLU: 193156,"rgba(255,215,0,0.4)",,14,,5-I19,A,,,,,
Fusion 2,,,,,,,,,,,,,,5-L22,0.45,0.75,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  741884<br>2*Screen RLU:  479432<br>3*Screen RLU:  498733<br>Scaleup RLU:  131953.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  4<br>Isotype: mIGM mKAPPA<br>EC50 (nM):  49.8<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,5-I19,1,RLU: 381599,"rgba(255,215,0,0.4)",,15,,5-L22,A,,,,,
# hybridomas = ,2496,,,,,,,,,,,,,5-L6,0.45,0.775,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  847900<br>2*Screen RLU:  480873<br>3*Screen RLU:  447667<br>Scaleup RLU:  968153<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  3<br>Isotype: mIgG2b mKAPPA<br>EC50 (nM):  1.2<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,5-L22,1,RLU: 498733,"rgba(255,215,0,0.4)",,16,,5-L6,A,,,,,
Fusion efficiency = ,1.3,,,,,,,,,,,,,7-E1,0.45,0.8,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  707369<br>2*Screen RLU:  364123<br>3*Screen RLU:  378186<br>Scaleup RLU:  551059.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  5<br>Isotype: mIGG2B mLAMBDA<br>EC50 (nM):  2.2<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,5-L6,1,RLU: 447667,"rgba(255,215,0,0.4)",,17,,7-E1,A,,,,,
# of wells screened: ,1920,,,,,,,,,,,,,7-P21,0.45,0.825,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  806803<br>2*Screen RLU:  585692<br>3*Screen RLU:  610984<br>Scaleup RLU:  242905<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  4<br>Isotype: mIGG1 mKAPPA<br>EC50 (nM):  0.9<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,7-E1,1,RLU: 378186,"rgba(255,215,0,0.4)",,18,,7-P21,A,,,,,
Mse ID# ,"1, 2, 4, 8",,,,,,,,,,,,,8-E6,0.45,0.85,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  784380<br>2*Screen RLU:  343425<br>3*Screen RLU:  342921<br>Scaleup RLU:  417699.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  2<br>Isotype: mIGG1 mKAPPA<br>EC50 (nM):  0.6<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,7-P21,1,RLU: 610984,"rgba(255,215,0,0.4)",,19,,8-E6,A,,,,,
Mse strain(s): ,"Mixed, bxs, kxg7",,,,,,,,,,,,,9-B7,0.45,0.875,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260472.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  2<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  1.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,8-E6,1,RLU: 342921,"rgba(255,215,0,0.4)",,20,,9-B7,A,,,,,
Fused b-cells: ,Lymphocytes,,,,,,,,,,,,,Top hit #13,0.55,0.6,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260473.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  3<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  2.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,9-B7,1,RLU: 292333,"rgba(255,215,0,0.4)",,21,,Top hit #13,A,,,,,
Immunization method: ,HT-Hock,,,,,,,,,,,,,Top hit #14,0.55,0.625,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260474.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  4<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  3.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #13,1,RLU: 292333,"rgba(128,0,128,0.4)",,22,,Top hit #14,A,,,,,
Immunogen: ,aaa,,,,,,,,,,,,,Top hit #15,0.55,0.65,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260475.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  5<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  4.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #14,1,RLU: 292333,"rgba(128,0,128,0.4)",,23,,Top hit #15,A,,,,,
Final boost: ,aaa,,,,,,,,,,,,,Top hit #16,0.55,0.675,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260476.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  6<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  5.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #15,1,RLU: 292333,"rgba(128,0,128,0.4)",,24,,Top hit #16,A,,,,,
,,,,,,,,,,,,,,Top hit #17,0.55,0.7,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260477.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  7<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  6.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #16,1,RLU: 292333,"rgba(128,0,128,0.4)",,25,,Top hit #17,A,,,,,
Screening information,,,,,,,,,,,,,,Top hit #18,0.55,0.725,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260478.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  8<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  7.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #17,1,RLU: 292333,"rgba(128,0,128,0.4)",,26,,Top hit #18,A,,,,,
Screening reagent,Target-His,,,,,,,,,,,,,Top hit #19,0.55,0.75,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260479.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  9<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  8.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #18,1,RLU: 292333,"rgba(128,0,128,0.4)",,27,,Top hit #19,Poly,,,,,
Concentration of screening reagent,1,,,,,,,,,,,,,Top hit #20,0.55,0.775,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260480.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  10<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  9.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #19,1,RLU: 292333,"rgba(128,0,128,0.4)",,28,,Top hit #20,Poly,,,,,
FACS or ELISA ? ,ELISA,,,,,,,,,,,,,Top hit #21,0.55,0.8,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260481.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  11<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  10.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #20,1,RLU: 292333,"rgba(128,0,128,0.4)",,29,,Top hit #21,Poly,,,,,
Total hits from 1* screen,384,,,,,,,,,,,,,Top hit #22,0.55,0.825,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260482.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  12<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  11.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #21,1,RLU: 292333,"rgba(128,0,128,0.4)",,30,,Top hit #22,B,,,,,
Total hits from 2* screen,355,,,,,,,,,,,,,Top hit #23,0.55,0.85,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260483.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  13<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  12.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #22,1,RLU: 292333,"rgba(128,0,128,0.4)",,31,,Top hit #23,B,,,,,
Total hits from 3* screen,337,,,,,,,,,,,,,Top hit #24,0.55,0.875,#800080,"rgba(128,0,128,0.4)",1*Screen RLU:  728793<br>2*Screen RLU:  330972<br>3*Screen RLU:  292333<br>Scaleup RLU:  260484.5<br>Poly/Nonspecific binding to BVP?    No<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  14<br>Isotype: mIGG2C mKAPPA<br>EC50 (nM):  13.1<br>IC50 (nM):  ## / ## / ##,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #23,1,RLU: 292333,"rgba(128,0,128,0.4)",,32,,Top hit #24,B,,,,,
2* screen hits from Fom Fusion 1,192,,,,,,,,,,,,,Parental/Poly<br>(3/12),0.65,0.4,#00008b,"rgba(0, 0, 139)",3 Polyclones/Parentals obtained out of 24 <br>Post-thaw RLU:  <br>5-I19 (RLU:549521.5)<br>9-B7 (RLU:402076,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,Top hit #24,1,RLU: 292333,"rgba(128,0,128,0.4)",,33,,,,,,,,
2* screen hits from Fom Fusion 2,192,,,,,,,,,,,,,,,,,,,2-O1,Clone A<br>(24/24),1,Clone screen RLU: 278295,"rgba(255,215,0,0.4)",,34,,,,,,,,
3* screen hits from Fom Fusion 1,187,,,,,,,,,,,,,,,,,,,3-D11,Clone A<br>(24/24),1,Clone screen RLU: 596386,"rgba(255,215,0,0.4)",,35,,,,,,,,
3* screen hits from Fom Fusion 2,187,,,,,,,,,,,,,,,,,,,3-O21,Clone A<br>(24/24),1,Clone screen RLU: 250907,"rgba(255,215,0,0.4)",,36,,,,,,,,
Clone A's obtained out of 24,24,,,,,,,,,,,,,,,,,,,4-A16,Clone A<br>(24/24),1,Clone screen RLU: 550873,"rgba(255,215,0,0.4)",,37,,,,,,,,
Clone B's obtained out of 24,21,,,,,,,,,,,,,,,,,,,4-N1,Clone A<br>(24/24),1,Clone screen RLU: 118945,"rgba(255,215,0,0.4)",,38,,,,,,,,
Polyclones/Parentals obtained out of 24 ,3,,,,,,,,,,,,,,,,,,,5-I19,Clone A<br>(24/24),0,Clone screen RLU: 235897,"rgba(255,215,0,0.4)",,39,,,,,,,,
# clone A sequenced/scaled-up,20,,,,,,,,,,,,,,,,,,,5-L22,Clone A<br>(24/24),1,Clone screen RLU: ,"rgba(255,215,0,0.4)",,40,,,,,,,,
# clone B sequenced/scaled-up,3,,,,,,,,,,,,,,,,,,,5-L6,Clone A<br>(24/24),1,Clone screen RLU: 706130,"rgba(255,215,0,0.4)",,41,,,,,,,,
# Parental/Poly sequenced,3,,,,,,,,,,,,,,,,,,,7-E1,Clone A<br>(24/24),1,Clone screen RLU: 313927,"rgba(255,215,0,0.4)",,42,,,,,,,,
Clones clean against BVP,21,,,,,,,,,,,,,,,,,,,7-P21,Clone A<br>(24/24),1,Clone screen RLU: ,"rgba(255,215,0,0.4)",,43,,,,,,,,
